id,official_ems_damage_gra,vlm_damage_class,confidence,action_priority,post_event_chip,google_maps_url
ems_00001,Possibly damaged,minor_visible_damage,0.35,review,/data/chips/emsr884-aoi06-moron/ems_00001_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.469884516,-68.242143162"
ems_00002,Damaged,uncertain_imagery_problem,0.25,review,/data/chips/emsr884-aoi06-moron/ems_00002_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.473201804999999,-68.21159007700001"
ems_00003,Damaged,uncertain_imagery_problem,0.45,review,/data/chips/emsr884-aoi06-moron/ems_00003_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.4733741440625,-68.209492080625"
ems_00004,Possibly damaged,uncertain_imagery_problem,0.25,review,/data/chips/emsr884-aoi06-moron/ems_00004_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.473705795625,-68.234726115625"
ems_00005,Damaged,uncertain_imagery_problem,0.25,review,/data/chips/emsr884-aoi06-moron/ems_00005_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.473703423063062,-68.20226592396396"
ems_00006,Possibly damaged,uncertain_imagery_problem,0.25,review,/data/chips/emsr884-aoi06-moron/ems_00006_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.473801088666667,-68.23159837733333"
ems_00007,Possibly damaged,minor_visible_damage,0.45,review,/data/chips/emsr884-aoi06-moron/ems_00007_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.47382099375,-68.230211555"
ems_00008,Possibly damaged,minor_visible_damage,0.45,review,/data/chips/emsr884-aoi06-moron/ems_00008_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.473882551666668,-68.22948544277777"
ems_00009,Possibly damaged,no_visible_damage,0.45,review,/data/chips/emsr884-aoi06-moron/ems_00009_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.474264878431374,-68.23075992941176"
ems_00010,Possibly damaged,uncertain_imagery_problem,0.35,review,/data/chips/emsr884-aoi06-moron/ems_00010_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.47418197984252,-68.20354024692912"
