id,source_id,damage_gra,damage_class,damage_percent,damage_pct_0m,damage_pct_10m,damage_pct_20m,unknown_pct,source_confidence,source_provider,centroid_lat,centroid_lon,google_maps_url
msft_catia_00001,20,Damaged,external-predicted-damaged,45.1,0.450746,0.375129,0.195625,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.559730392756398,-67.08711653048488,"https://www.google.com/maps/search/?api=1&query=10.559730392756398,-67.08711653048488"
msft_catia_00002,21,Damaged,external-predicted-damaged,53.5,0.535388,0.287601,0.128329,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.559781552649468,-67.08727955007049,"https://www.google.com/maps/search/?api=1&query=10.559781552649468,-67.08727955007049"
msft_catia_00003,101,Damaged,external-predicted-damaged,52.8,0.52819,0.311622,0.160072,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.56393962292847,-67.0727937529773,"https://www.google.com/maps/search/?api=1&query=10.56393962292847,-67.0727937529773"
msft_catia_00004,199,Damaged,external-predicted-damaged,11.1,0.042017,0.111186,0.035127,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.57470972757428,-67.0673903754716,"https://www.google.com/maps/search/?api=1&query=10.57470972757428,-67.0673903754716"
msft_catia_00005,291,Damaged,external-predicted-damaged,40.2,0.402256,0.202266,0.07593,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.561919376458174,-67.08197744620242,"https://www.google.com/maps/search/?api=1&query=10.561919376458174,-67.08197744620242"
msft_catia_00006,369,Damaged,external-predicted-damaged,14.8,0.145669,0.147538,0.105986,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.562734396560517,-67.08193051833027,"https://www.google.com/maps/search/?api=1&query=10.562734396560517,-67.08193051833027"
msft_catia_00007,370,Damaged,external-predicted-damaged,100.0,1.0,0.513764,0.221022,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.562759136434652,-67.08211754640253,"https://www.google.com/maps/search/?api=1&query=10.562759136434652,-67.08211754640253"
msft_catia_00008,397,Damaged,external-predicted-damaged,55.5,0.554839,0.390209,0.314532,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.563028316544445,-67.08199100694011,"https://www.google.com/maps/search/?api=1&query=10.563028316544445,-67.08199100694011"
msft_catia_00009,638,Damaged,external-predicted-damaged,20.2,0.202454,0.061852,0.020164,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.565137741232753,-67.07541458657916,"https://www.google.com/maps/search/?api=1&query=10.565137741232753,-67.07541458657916"
msft_catia_00010,642,Damaged,external-predicted-damaged,18.8,0.036496,0.188029,0.157016,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.565102599175932,-67.07840961828221,"https://www.google.com/maps/search/?api=1&query=10.565102599175932,-67.07840961828221"
msft_catia_00011,643,Damaged,external-predicted-damaged,6.1,0.011765,0.061449,0.036314,0.694118,external-model-prediction,Microsoft AI for Good Lab via HDX,10.56512991944356,-67.07802257937034,"https://www.google.com/maps/search/?api=1&query=10.56512991944356,-67.07802257937034"
msft_catia_00012,656,Damaged,external-predicted-damaged,22.6,0.22611,0.198711,0.093548,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.565298829946013,-67.0752281386356,"https://www.google.com/maps/search/?api=1&query=10.565298829946013,-67.0752281386356"
msft_catia_00013,660,Damaged,external-predicted-damaged,11.2,0.112208,0.02669,0.063604,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.565172129808976,-67.07541192375346,"https://www.google.com/maps/search/?api=1&query=10.565172129808976,-67.07541192375346"
msft_catia_00014,669,Damaged,external-predicted-damaged,14.1,0.140977,0.054579,0.02298,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.565382772344849,-67.07590669396308,"https://www.google.com/maps/search/?api=1&query=10.565382772344849,-67.07590669396308"
msft_catia_00015,670,Damaged,external-predicted-damaged,51.4,0.513514,0.227409,0.113987,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.565296561442892,-67.07512830748117,"https://www.google.com/maps/search/?api=1&query=10.565296561442892,-67.07512830748117"
msft_catia_00016,675,Damaged,external-predicted-damaged,18.2,0.105485,0.181689,0.104607,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.565384961344423,-67.07528292711606,"https://www.google.com/maps/search/?api=1&query=10.565384961344423,-67.07528292711606"
msft_catia_00017,678,Damaged,external-predicted-damaged,12.2,0.115774,0.121866,0.056072,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.565388723705555,-67.07508096767653,"https://www.google.com/maps/search/?api=1&query=10.565388723705555,-67.07508096767653"
msft_catia_00018,679,Damaged,external-predicted-damaged,22.0,0.220421,0.146059,0.08116,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.565440161361744,-67.0752646272053,"https://www.google.com/maps/search/?api=1&query=10.565440161361744,-67.0752646272053"
msft_catia_00019,680,Damaged,external-predicted-damaged,16.7,0.041667,0.166746,0.092871,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.565474721396729,-67.07521798735834,"https://www.google.com/maps/search/?api=1&query=10.565474721396729,-67.07521798735834"
msft_catia_00020,700,Damaged,external-predicted-damaged,2.2,0.011696,0.021877,0.007741,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.565414081126196,-67.07560464624785,"https://www.google.com/maps/search/?api=1&query=10.565414081126196,-67.07560464624785"
msft_catia_00021,704,Damaged,external-predicted-damaged,0.6,0.00565,0.000308,0.004852,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.565583201310888,-67.07535672705117,"https://www.google.com/maps/search/?api=1&query=10.565583201310888,-67.07535672705117"
msft_catia_00022,717,Damaged,external-predicted-damaged,38.5,0.384615,0.355317,0.256656,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.565908500109831,-67.07714866232944,"https://www.google.com/maps/search/?api=1&query=10.565908500109831,-67.07714866232944"
msft_catia_00023,729,Damaged,external-predicted-damaged,35.2,0.21137,0.352054,0.17961,0.0,external-model-prediction,Microsoft AI for Good Lab via HDX,10.566009161790848,-67.07471088913367,"https://www.google.com/maps/search/?api=1&query=10.566009161790848,-67.07471088913367"
